@RELATION TrainingDataset

@ATTRIBUTE code_module {AAA,BBB,CCC,DDD,EEE,FFF,GGG}
@ATTRIBUTE code_presentation {2013B,2013J,2014B}
@ATTRIBUTE id_student REAL
@ATTRIBUTE gender {F,M}
@ATTRIBUTE region {East_Anglian_Region,East_Midlands_Region,Ireland,London_Region,North_Region,North_Western_Region,Scotland,South_East_Region,South_Region,South_West_Region,Wales,West_Midlands_Region,Yorkshire_Region}
@ATTRIBUTE highest_education {A_Level_or_Equivalent,HE_Qualification,Lower_Than_A_Level,No_Formal_quals,Post_Graduate_Qualification}
@ATTRIBUTE course_length_in_percent {0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100}
@ATTRIBUTE age_band {0-35,35-55,above_55}
@ATTRIBUTE num_of_prev_attempts REAL
@ATTRIBUTE studied_credits REAL
@ATTRIBUTE disability {N,Y}
@ATTRIBUTE final_result {Distinction,Fail,Pass,Withdrawn}

@DATA
AAA,2013J,75091,M,South_West_Region,A_Level_or_Equivalent,30-40,35-55,0,60,N,Pass
AAA,2013J,77367,M,East_Midlands_Region,A_Level_or_Equivalent,30-40,0-35,0,60,N,Pass
AAA,2013J,91265,M,North_Western_Region,HE_Qualification,0-10,0-35,0,60,N,Pass
AAA,2013J,94961,M,South_Region,Lower_Than_A_Level,70-80,35-55,0,60,N,Withdrawn
AAA,2013J,98094,M,Wales,Lower_Than_A_Level,70-80,35-55,0,60,N,Pass
AAA,2013J,100893,M,Yorkshire_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Pass
AAA,2013J,101781,M,South_Region,Lower_Than_A_Level,80-90,35-55,0,60,N,Pass
AAA,2013J,102806,M,North_Western_Region,A_Level_or_Equivalent,30-40,0-35,0,60,N,Pass
AAA,2013J,102952,M,London_Region,HE_Qualification,60-70,0-35,0,60,N,Pass
AAA,2013J,106247,M,South_Region,HE_Qualification,80-90,35-55,0,60,N,Withdrawn
AAA,2013J,106577,M,East_Midlands_Region,Lower_Than_A_Level,20-30,0-35,0,60,N,Pass
AAA,2013J,110175,M,East_Anglian_Region,HE_Qualification,80-90,35-55,0,60,N,Pass
AAA,2013J,111717,F,East_Anglian_Region,HE_Qualification,90-100,35-55,0,60,N,Pass
AAA,2013J,113295,M,Yorkshire_Region,Lower_Than_A_Level,60-70,35-55,0,60,N,Pass
AAA,2013J,114999,M,Yorkshire_Region,HE_Qualification,60-70,35-55,0,60,N,Pass
AAA,2013J,116541,M,Wales,HE_Qualification,0-10,0-35,0,60,N,Pass
AAA,2013J,116692,M,East_Anglian_Region,A_Level_or_Equivalent,70-80,35-55,0,60,N,Pass
AAA,2013J,118983,M,East_Midlands_Region,HE_Qualification,30-40,0-35,0,120,N,Pass
AAA,2013J,123044,M,South_Region,A_Level_or_Equivalent,40-50,35-55,0,60,N,Pass
AAA,2013J,127582,F,East_Midlands_Region,A_Level_or_Equivalent,40-50,0-35,0,180,N,Pass
AAA,2013J,129955,M,West_Midlands_Region,A_Level_or_Equivalent,50-60,0-35,0,60,N,Withdrawn
AAA,2013J,132976,F,East_Anglian_Region,Lower_Than_A_Level,80-90,35-55,0,120,N,Pass
AAA,2013J,134143,F,South_East_Region,A_Level_or_Equivalent,90-100,35-55,0,60,N,Distinction
AAA,2013J,135335,F,East_Anglian_Region,Lower_Than_A_Level,20-30,0-35,0,180,N,Withdrawn
AAA,2013J,135400,F,South_East_Region,Lower_Than_A_Level,90-100,35-55,0,60,Y,Withdrawn
AAA,2013J,137873,M,South_West_Region,A_Level_or_Equivalent,40-50,35-55,0,60,N,Pass
AAA,2013J,141355,F,East_Midlands_Region,A_Level_or_Equivalent,30-40,0-35,0,240,N,Pass
AAA,2013J,141377,M,South_West_Region,A_Level_or_Equivalent,90-100,0-35,0,345,N,Withdrawn
AAA,2013J,142326,F,North_Region,A_Level_or_Equivalent,50-60,35-55,0,60,N,Pass
AAA,2013J,144801,F,South_Region,HE_Qualification,80-90,35-55,0,60,N,Pass
AAA,2013J,145130,M,South_West_Region,HE_Qualification,60-70,0-35,0,120,N,Pass
AAA,2013J,146188,F,West_Midlands_Region,A_Level_or_Equivalent,20-30,0-35,0,60,Y,Fail
AAA,2013J,147756,M,North_Region,Lower_Than_A_Level,60-70,0-35,0,120,N,Fail
AAA,2013J,147793,F,North_Region,Lower_Than_A_Level,80-90,0-35,0,90,N,Withdrawn
AAA,2013J,148993,F,North_Western_Region,A_Level_or_Equivalent,30-40,35-55,0,60,Y,Withdrawn
AAA,2013J,151358,F,London_Region,A_Level_or_Equivalent,80-90,0-35,0,150,N,Pass
AAA,2013J,155550,M,London_Region,A_Level_or_Equivalent,0-10,35-55,0,420,N,Pass
AAA,2013J,155854,F,East_Midlands_Region,A_Level_or_Equivalent,20-30,35-55,0,60,N,Pass
AAA,2013J,155984,F,East_Anglian_Region,Lower_Than_A_Level,70-80,0-35,0,60,N,Withdrawn
AAA,2013J,157568,F,South_West_Region,A_Level_or_Equivalent,90-100,0-35,0,60,N,Pass
AAA,2013J,159954,M,East_Midlands_Region,A_Level_or_Equivalent,40-50,35-55,0,60,N,Withdrawn
AAA,2013J,164259,M,Scotland,A_Level_or_Equivalent,70-80,0-35,0,60,N,Pass
AAA,2013J,167906,F,Yorkshire_Region,A_Level_or_Equivalent,40-50,35-55,0,60,N,Pass
AAA,2013J,168936,F,West_Midlands_Region,Lower_Than_A_Level,10-20,35-55,0,60,N,Pass
AAA,2013J,174782,M,East_Anglian_Region,HE_Qualification,90-100,above_55,0,60,N,Pass
AAA,2013J,175932,M,North_Western_Region,HE_Qualification,70-80,35-55,0,60,N,Pass
AAA,2013J,175991,F,North_Western_Region,A_Level_or_Equivalent,80-90,0-35,0,180,N,Fail
AAA,2013J,180753,M,South_West_Region,A_Level_or_Equivalent,30-40,0-35,0,120,N,Pass
AAA,2013J,181316,F,South_West_Region,A_Level_or_Equivalent,80-90,35-55,0,120,N,Withdrawn
AAA,2013J,183096,F,South_West_Region,A_Level_or_Equivalent,60-70,0-35,0,60,N,Pass
AAA,2013J,183947,M,London_Region,A_Level_or_Equivalent,10-20,0-35,0,180,N,Pass
AAA,2013J,184271,M,South_West_Region,HE_Qualification,80-90,35-55,0,170,N,Pass
AAA,2013J,185439,M,London_Region,HE_Qualification,10-20,0-35,0,120,N,Fail
AAA,2013J,186149,M,Scotland,HE_Qualification,30-40,35-55,0,60,N,Pass
AAA,2013J,187100,M,South_East_Region,A_Level_or_Equivalent,50-60,35-55,0,60,N,Distinction
AAA,2013J,188278,M,Yorkshire_Region,A_Level_or_Equivalent,70-80,35-55,0,120,N,Withdrawn
AAA,2013J,189879,M,Scotland,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,192183,F,South_West_Region,Lower_Than_A_Level,90-100,0-35,0,60,N,Pass
AAA,2013J,195262,M,London_Region,A_Level_or_Equivalent,90-100,0-35,0,60,N,Withdrawn
AAA,2013J,200860,M,London_Region,Lower_Than_A_Level,50-60,35-55,0,60,N,Pass
AAA,2013J,202635,F,Wales,A_Level_or_Equivalent,30-40,0-35,0,60,N,Withdrawn
AAA,2013J,205350,M,South_West_Region,HE_Qualification,80-90,35-55,0,60,N,Pass
AAA,2013J,205719,M,East_Anglian_Region,A_Level_or_Equivalent,40-50,0-35,0,90,Y,Fail
AAA,2013J,227499,F,London_Region,A_Level_or_Equivalent,10-20,35-55,0,60,N,Distinction
AAA,2013J,228082,M,London_Region,HE_Qualification,60-70,0-35,0,60,N,Pass
AAA,2013J,228222,M,East_Midlands_Region,Lower_Than_A_Level,50-60,0-35,0,60,N,Pass
AAA,2013J,229179,M,West_Midlands_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Pass
AAA,2013J,229361,M,East_Midlands_Region,A_Level_or_Equivalent,50-60,0-35,0,60,N,Pass
AAA,2013J,231554,M,London_Region,A_Level_or_Equivalent,40-50,0-35,0,240,N,Pass
AAA,2013J,235507,M,Yorkshire_Region,A_Level_or_Equivalent,90-100,0-35,0,240,N,Withdrawn
AAA,2013J,236284,M,Scotland,Post_Graduate_Qualification,90-100,0-35,0,60,N,Pass
AAA,2013J,238007,M,South_Region,HE_Qualification,90-100,above_55,0,60,N,Pass
AAA,2013J,240712,M,London_Region,HE_Qualification,80-90,0-35,0,80,N,Pass
AAA,2013J,240884,M,South_Region,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,241649,M,East_Anglian_Region,HE_Qualification,90-100,35-55,0,60,N,Pass
AAA,2013J,241729,F,East_Midlands_Region,HE_Qualification,60-70,35-55,0,60,N,Fail
AAA,2013J,242793,M,London_Region,HE_Qualification,20-30,35-55,0,60,N,Pass
AAA,2013J,246834,M,South_West_Region,A_Level_or_Equivalent,90-100,35-55,0,60,N,Pass
AAA,2013J,248270,M,North_Western_Region,Lower_Than_A_Level,20-30,0-35,0,90,N,Pass
AAA,2013J,255548,M,Wales,Lower_Than_A_Level,20-30,35-55,0,60,N,Pass
AAA,2013J,256815,M,North_Western_Region,HE_Qualification,10-20,0-35,0,120,N,Pass
AAA,2013J,258392,F,West_Midlands_Region,Lower_Than_A_Level,30-40,0-35,0,60,N,Pass
AAA,2013J,258894,F,East_Anglian_Region,Lower_Than_A_Level,70-80,35-55,0,60,N,Pass
AAA,2013J,260355,F,London_Region,A_Level_or_Equivalent,80-90,35-55,0,60,N,Withdrawn
AAA,2013J,262011,M,East_Midlands_Region,A_Level_or_Equivalent,20-30,35-55,0,60,N,Pass
AAA,2013J,262934,F,North_Western_Region,A_Level_or_Equivalent,30-40,35-55,0,60,N,Pass
AAA,2013J,268073,M,East_Anglian_Region,A_Level_or_Equivalent,10-20,35-55,0,90,N,Fail
AAA,2013J,268733,M,East_Anglian_Region,A_Level_or_Equivalent,30-40,0-35,0,180,N,Withdrawn
AAA,2013J,271251,M,Scotland,A_Level_or_Equivalent,80-90,35-55,0,60,N,Pass
AAA,2013J,277880,F,South_East_Region,A_Level_or_Equivalent,60-70,0-35,0,60,N,Withdrawn
AAA,2013J,279572,M,London_Region,Lower_Than_A_Level,40-50,0-35,0,60,N,Distinction
AAA,2013J,281022,F,Scotland,A_Level_or_Equivalent,30-40,0-35,0,150,N,Pass
AAA,2013J,281250,M,Wales,Lower_Than_A_Level,70-80,35-55,0,60,N,Fail
AAA,2013J,281589,M,North_Western_Region,HE_Qualification,30-40,0-35,0,60,N,Fail
AAA,2013J,282821,M,South_West_Region,A_Level_or_Equivalent,30-40,35-55,0,60,N,Pass
AAA,2013J,286488,M,South_East_Region,A_Level_or_Equivalent,90-100,35-55,0,60,N,Pass
AAA,2013J,287548,M,East_Anglian_Region,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,290201,M,Wales,A_Level_or_Equivalent,20-30,0-35,0,60,N,Pass
AAA,2013J,290757,M,North_Western_Region,A_Level_or_Equivalent,30-40,0-35,0,60,N,Pass
AAA,2013J,291334,M,South_East_Region,A_Level_or_Equivalent,90-100,35-55,0,60,N,Distinction
AAA,2013J,292923,F,South_East_Region,A_Level_or_Equivalent,90-100,35-55,0,180,N,Withdrawn
AAA,2013J,293699,M,East_Midlands_Region,A_Level_or_Equivalent,70-80,0-35,0,120,N,Pass
AAA,2013J,294570,M,South_East_Region,HE_Qualification,90-100,above_55,0,60,N,Pass
AAA,2013J,294594,M,South_East_Region,A_Level_or_Equivalent,90-100,0-35,0,60,N,Pass
AAA,2013J,295741,M,South_East_Region,A_Level_or_Equivalent,40-50,35-55,0,240,N,Fail
AAA,2013J,296332,M,South_Region,Post_Graduate_Qualification,90-100,above_55,0,60,N,Distinction
AAA,2013J,298696,F,South_East_Region,HE_Qualification,80-90,0-35,0,60,N,Pass
AAA,2013J,300398,M,West_Midlands_Region,A_Level_or_Equivalent,30-40,35-55,0,60,N,Pass
AAA,2013J,302302,F,East_Anglian_Region,A_Level_or_Equivalent,40-50,0-35,0,60,N,Fail
AAA,2013J,305152,M,North_Western_Region,A_Level_or_Equivalent,70-80,0-35,0,60,N,Fail
AAA,2013J,305386,M,West_Midlands_Region,A_Level_or_Equivalent,70-80,0-35,0,120,Y,Pass
AAA,2013J,305539,F,Wales,Lower_Than_A_Level,80-90,0-35,0,120,N,Withdrawn
AAA,2013J,306107,M,West_Midlands_Region,A_Level_or_Equivalent,50-60,35-55,0,120,N,Pass
AAA,2013J,306466,M,East_Anglian_Region,A_Level_or_Equivalent,90-100,35-55,0,60,N,Pass
AAA,2013J,306897,F,London_Region,A_Level_or_Equivalent,10-20,0-35,0,60,N,Pass
AAA,2013J,307061,F,East_Midlands_Region,HE_Qualification,10-20,0-35,0,60,N,Pass
AAA,2013J,307866,M,West_Midlands_Region,A_Level_or_Equivalent,70-80,0-35,0,60,N,Pass
AAA,2013J,311917,M,South_West_Region,A_Level_or_Equivalent,60-70,above_55,0,120,N,Pass
AAA,2013J,312537,M,South_Region,Post_Graduate_Qualification,90-100,above_55,0,60,N,Distinction
AAA,2013J,312782,M,South_Region,A_Level_or_Equivalent,90-100,0-35,0,60,N,Pass
AAA,2013J,318933,F,East_Anglian_Region,HE_Qualification,80-90,0-35,0,120,N,Pass
AAA,2013J,319047,F,East_Midlands_Region,A_Level_or_Equivalent,50-60,0-35,0,60,N,Pass
AAA,2013J,321942,M,South_Region,HE_Qualification,90-100,above_55,0,60,N,Pass
AAA,2013J,324002,M,East_Anglian_Region,HE_Qualification,40-50,35-55,0,60,N,Pass
AAA,2013J,324084,F,South_West_Region,A_Level_or_Equivalent,10-20,35-55,0,60,N,Pass
AAA,2013J,324282,M,South_East_Region,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,331358,F,South_Region,HE_Qualification,90-100,35-55,0,60,N,Withdrawn
AAA,2013J,332789,F,East_Anglian_Region,A_Level_or_Equivalent,60-70,35-55,0,60,N,Pass
AAA,2013J,333059,M,Scotland,A_Level_or_Equivalent,20-30,0-35,0,120,N,Pass
AAA,2013J,333323,M,Scotland,HE_Qualification,80-90,0-35,0,60,N,Pass
AAA,2013J,334259,F,London_Region,A_Level_or_Equivalent,50-60,0-35,0,150,N,Fail
AAA,2013J,334333,F,South_West_Region,A_Level_or_Equivalent,0-10,0-35,0,240,Y,Withdrawn
AAA,2013J,335764,F,South_East_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Withdrawn
AAA,2013J,336207,M,East_Anglian_Region,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,339972,M,North_Region,A_Level_or_Equivalent,80-90,0-35,0,60,N,Pass
AAA,2013J,341872,M,East_Anglian_Region,Lower_Than_A_Level,40-50,0-35,0,180,N,Fail
AAA,2013J,342007,F,West_Midlands_Region,HE_Qualification,70-80,0-35,0,60,N,Withdrawn
AAA,2013J,342514,M,Scotland,Lower_Than_A_Level,50-60,above_55,0,60,N,Pass
AAA,2013J,342972,M,Yorkshire_Region,HE_Qualification,0-10,0-35,0,60,N,Pass
AAA,2013J,343446,M,Ireland,HE_Qualification,70-80,35-55,0,120,N,Pass
AAA,2013J,344282,M,Yorkshire_Region,A_Level_or_Equivalent,10-20,0-35,0,60,N,Fail
AAA,2013J,345068,M,East_Anglian_Region,A_Level_or_Equivalent,60-70,0-35,0,180,Y,Pass
AAA,2013J,345357,M,Yorkshire_Region,A_Level_or_Equivalent,30-40,0-35,0,60,N,Distinction
AAA,2013J,346025,M,East_Anglian_Region,A_Level_or_Equivalent,50-60,0-35,0,120,N,Pass
AAA,2013J,346843,F,Scotland,HE_Qualification,50-60,35-55,0,120,N,Fail
AAA,2013J,350188,M,North_Western_Region,HE_Qualification,80-90,35-55,0,60,N,Pass
AAA,2013J,354858,M,South_Region,HE_Qualification,90-100,35-55,0,120,N,Withdrawn
AAA,2013J,357668,M,Yorkshire_Region,A_Level_or_Equivalent,10-20,0-35,0,60,N,Fail
AAA,2013J,364177,M,East_Anglian_Region,Lower_Than_A_Level,70-80,35-55,0,60,N,Fail
AAA,2013J,365244,F,London_Region,A_Level_or_Equivalent,0-10,0-35,0,120,N,Pass
AAA,2013J,365642,M,East_Anglian_Region,Lower_Than_A_Level,10-20,35-55,0,60,N,Pass
AAA,2013J,366483,M,South_West_Region,HE_Qualification,40-50,0-35,0,60,N,Pass
AAA,2013J,368194,F,South_West_Region,A_Level_or_Equivalent,50-60,0-35,0,120,Y,Pass
AAA,2013J,368824,M,Wales,HE_Qualification,50-60,35-55,0,120,N,Fail
AAA,2013J,368963,M,Yorkshire_Region,Lower_Than_A_Level,0-10,0-35,0,180,N,Pass
AAA,2013J,376581,F,South_Region,A_Level_or_Equivalent,80-90,35-55,0,60,N,Pass
AAA,2013J,380953,M,East_Midlands_Region,A_Level_or_Equivalent,80-90,0-35,0,60,N,Pass
AAA,2013J,383254,M,Yorkshire_Region,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,386952,M,Yorkshire_Region,A_Level_or_Equivalent,70-80,0-35,0,120,N,Pass
AAA,2013J,388722,F,London_Region,Lower_Than_A_Level,80-90,35-55,0,60,N,Pass
AAA,2013J,388885,M,South_West_Region,A_Level_or_Equivalent,90-100,35-55,0,60,N,Pass
AAA,2013J,390890,M,Scotland,A_Level_or_Equivalent,0-10,0-35,0,90,N,Withdrawn
AAA,2013J,392756,M,West_Midlands_Region,A_Level_or_Equivalent,70-80,0-35,0,120,N,Fail
AAA,2013J,392931,F,North_Western_Region,A_Level_or_Equivalent,50-60,35-55,0,120,N,Pass
AAA,2013J,393207,M,North_Western_Region,A_Level_or_Equivalent,60-70,0-35,0,60,N,Pass
AAA,2013J,396872,M,Yorkshire_Region,HE_Qualification,50-60,0-35,0,180,N,Pass
AAA,2013J,398552,M,Yorkshire_Region,Lower_Than_A_Level,90-100,0-35,0,240,N,Fail
AAA,2013J,401869,F,South_East_Region,Lower_Than_A_Level,80-90,0-35,0,60,N,Pass
AAA,2013J,402470,M,South_West_Region,Lower_Than_A_Level,50-60,35-55,0,60,N,Pass
AAA,2013J,404804,M,Wales,Lower_Than_A_Level,20-30,35-55,0,120,N,Pass
AAA,2013J,405088,M,North_Region,A_Level_or_Equivalent,20-30,0-35,0,120,N,Pass
AAA,2013J,405961,M,Scotland,A_Level_or_Equivalent,90-100,0-35,0,240,Y,Withdrawn
AAA,2013J,414117,M,Yorkshire_Region,A_Level_or_Equivalent,50-60,0-35,0,120,N,Pass
BBB,2013B,23629,F,East_Anglian_Region,Lower_Than_A_Level,20-30,0-35,2,60,N,Fail
BBB,2013B,25107,F,East_Anglian_Region,Lower_Than_A_Level,20-30,0-35,0,120,N,Pass
BBB,2013B,27891,M,Scotland,Lower_Than_A_Level,0-10,0-35,2,120,Y,Withdrawn
BBB,2013B,29144,M,South_Region,Lower_Than_A_Level,60-70,0-35,0,120,N,Fail
BBB,2013B,31663,M,North_Region,A_Level_or_Equivalent,30-40,35-55,0,60,N,Pass
BBB,2013B,33666,F,London_Region,A_Level_or_Equivalent,10-20,0-35,1,60,N,Withdrawn
BBB,2013B,34229,F,Ireland,A_Level_or_Equivalent,0-10,35-55,2,120,N,Pass
BBB,2013B,34353,M,Scotland,A_Level_or_Equivalent,70-80,35-55,0,120,Y,Fail
BBB,2013B,34431,F,Yorkshire_Region,Lower_Than_A_Level,70-80,0-35,0,60,N,Withdrawn
BBB,2013B,34694,M,West_Midlands_Region,A_Level_or_Equivalent,10-20,35-55,1,60,N,Withdrawn
BBB,2013B,34756,F,East_Midlands_Region,Lower_Than_A_Level,10-20,0-35,1,150,N,Withdrawn
BBB,2013B,34863,F,London_Region,A_Level_or_Equivalent,50-60,0-35,0,60,N,Pass
BBB,2013B,35812,F,East_Anglian_Region,Lower_Than_A_Level,30-40,0-35,0,60,N,Fail
BBB,2013B,39655,F,Scotland,Lower_Than_A_Level,50-60,0-35,0,120,N,Distinction
BBB,2013B,50993,F,Scotland,Lower_Than_A_Level,0-10,0-35,0,60,Y,Fail
BBB,2013B,52899,F,East_Midlands_Region,Lower_Than_A_Level,50-60,35-55,0,60,N,Withdrawn
BBB,2013B,58089,F,West_Midlands_Region,A_Level_or_Equivalent,40-50,0-35,2,90,N,Fail
BBB,2013B,62631,F,North_Western_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Fail
BBB,2013B,70608,F,South_East_Region,HE_Qualification,70-80,35-55,0,240,N,Distinction
BBB,2013B,71433,F,North_Western_Region,A_Level_or_Equivalent,50-60,0-35,1,150,N,Fail
BBB,2013B,72070,M,South_East_Region,A_Level_or_Equivalent,60-70,35-55,0,60,N,Withdrawn
BBB,2013B,74695,F,North_Region,Lower_Than_A_Level,40-50,0-35,0,90,N,Distinction
BBB,2013B,74734,F,North_Western_Region,Lower_Than_A_Level,0-10,0-35,0,180,N,Pass
BBB,2013B,75399,F,East_Anglian_Region,Lower_Than_A_Level,60-70,35-55,0,60,N,Pass
BBB,2013B,78645,F,East_Anglian_Region,Lower_Than_A_Level,40-50,0-35,0,60,N,Fail
BBB,2013B,79378,F,London_Region,Lower_Than_A_Level,20-30,35-55,4,120,Y,Fail
BBB,2013B,82535,F,Wales,Lower_Than_A_Level,20-30,0-35,0,180,N,Pass
BBB,2013B,82741,F,East_Anglian_Region,Lower_Than_A_Level,50-60,0-35,0,60,N,Pass
BBB,2013B,83254,F,London_Region,HE_Qualification,10-20,35-55,0,60,N,Pass
BBB,2013B,84245,M,Wales,A_Level_or_Equivalent,50-60,0-35,0,120,N,Distinction
BBB,2013B,84664,F,North_Western_Region,A_Level_or_Equivalent,60-70,35-55,0,60,N,Pass
BBB,2013B,86291,F,Wales,HE_Qualification,50-60,35-55,0,60,N,Withdrawn
BBB,2013B,87604,F,West_Midlands_Region,A_Level_or_Equivalent,30-40,0-35,0,180,N,Withdrawn
BBB,2013B,87732,M,East_Midlands_Region,A_Level_or_Equivalent,30-40,35-55,0,75,N,Pass
BBB,2013B,88580,F,London_Region,Lower_Than_A_Level,10-20,0-35,0,60,N,Withdrawn
BBB,2013B,91322,F,Yorkshire_Region,A_Level_or_Equivalent,40-50,35-55,0,60,N,Pass
BBB,2013B,92274,F,East_Anglian_Region,Lower_Than_A_Level,60-70,0-35,0,60,N,Withdrawn
BBB,2013B,92832,F,East_Anglian_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Pass
BBB,2013B,92947,F,Wales,HE_Qualification,10-20,35-55,0,120,N,Distinction
BBB,2013B,92993,F,East_Anglian_Region,Lower_Than_A_Level,10-20,0-35,3,135,N,Pass
BBB,2013B,94616,F,South_Region,Lower_Than_A_Level,80-90,0-35,1,60,N,Fail
BBB,2013B,96291,F,South_Region,Lower_Than_A_Level,70-80,0-35,0,60,N,Withdrawn
BBB,2013B,97154,F,North_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Pass
BBB,2013B,98313,F,Scotland,HE_Qualification,30-40,35-55,0,60,N,Pass
BBB,2013B,102849,F,East_Anglian_Region,A_Level_or_Equivalent,20-30,35-55,0,180,N,Withdrawn
BBB,2013B,104054,F,South_East_Region,Lower_Than_A_Level,90-100,35-55,0,120,N,Distinction
BBB,2013B,108377,F,South_Region,Lower_Than_A_Level,30-40,35-55,0,120,Y,Pass
BBB,2013B,108589,F,Ireland,A_Level_or_Equivalent,70-80,0-35,0,60,N,Pass
BBB,2013B,109938,F,Wales,HE_Qualification,60-70,0-35,0,120,N,Distinction
BBB,2013B,110881,F,East_Anglian_Region,A_Level_or_Equivalent,40-50,0-35,0,60,N,Pass
BBB,2013B,116603,F,Scotland,HE_Qualification,20-30,35-55,0,60,N,Distinction
BBB,2013B,117071,M,London_Region,A_Level_or_Equivalent,40-50,35-55,0,60,N,Fail
BBB,2013B,120994,F,London_Region,Lower_Than_A_Level,30-40,35-55,0,70,Y,Fail
BBB,2013B,122524,F,Wales,Lower_Than_A_Level,20-30,0-35,2,120,N,Fail
BBB,2013B,123379,F,East_Midlands_Region,A_Level_or_Equivalent,70-80,0-35,1,180,N,Withdrawn
BBB,2013B,123860,F,East_Anglian_Region,A_Level_or_Equivalent,70-80,35-55,0,60,Y,Pass
BBB,2013B,126322,F,Scotland,A_Level_or_Equivalent,10-20,35-55,1,60,N,Pass
BBB,2013B,126411,F,West_Midlands_Region,Lower_Than_A_Level,0-10,0-35,2,60,Y,Fail
BBB,2013B,127209,F,Scotland,A_Level_or_Equivalent,40-50,0-35,1,180,Y,Withdrawn
BBB,2013B,128776,F,Yorkshire_Region,Lower_Than_A_Level,40-50,35-55,1,120,N,Withdrawn
BBB,2013B,133155,F,Yorkshire_Region,HE_Qualification,50-60,35-55,0,60,N,Pass
BBB,2013B,133531,F,Wales,Lower_Than_A_Level,30-40,0-35,0,60,N,Fail
BBB,2013B,133748,F,Scotland,Lower_Than_A_Level,0-10,35-55,0,70,N,Fail
BBB,2013B,141823,F,East_Midlands_Region,A_Level_or_Equivalent,0-10,0-35,0,120,N,Withdrawn
BBB,2013B,142324,F,East_Anglian_Region,Lower_Than_A_Level,30-40,35-55,0,60,N,Fail
BBB,2013B,143741,F,London_Region,A_Level_or_Equivalent,50-60,0-35,0,120,Y,Distinction
